species,name,class,current,RCP2.6,RCP2.6_CSH,Type_1,RCP4.5,RCP4.5_CSH,Type_2,RCP8.5,RCP8.5_CSH,Type_3
sp1,Abelia chinensis,wide-ranged,2573,2328,-0.1,NT,2009,-0.22,NT,1775,-0.31,VU
sp2,Abelia forrestii,wide-ranged,166,68,-0.59,EN,42,-0.75,EN,29,-0.83,CR
sp3,Abelia serrata,narrow-ranged,187,3791,19.27,LC,3752,19.06,LC,2247,11.02,LC
sp4,Abelia uniflora,wide-ranged,2539,2494,-0.02,NT,2415,-0.05,NT,2119,-0.17,NT
sp5,Abies beshanzuensis,narrow-ranged,71,379,4.34,LC,298,3.2,LC,143,1.01,LC
sp6,Abies beshanzuensis var. ziyuanensis,wide-ranged,39,2,-0.95,CR,0,-1,EX,0,-1,EX
sp7,Abies chayuensis,wide-ranged,94,13,-0.86,CR,9,-0.9,CR,7,-0.93,CR
sp8,Abies chensiensis,wide-ranged,327,364,0.11,LC,343,0.05,LC,254,-0.22,NT
sp9,Abies delavayi,wide-ranged,425,339,-0.2,NT,295,-0.31,VU,215,-0.49,VU
sp10,Abies delavayi var. motuoensis,wide-ranged,253,372,0.47,LC,374,0.48,LC,257,0.02,LC
sp11,Abies ernestii,wide-ranged,1202,1159,-0.04,NT,1128,-0.06,NT,1070,-0.11,NT
sp12,Abies ernestii var. salouenensis,wide-ranged,371,168,-0.55,EN,135,-0.64,EN,219,-0.41,VU
sp13,Abies fabri,wide-ranged,433,593,0.37,LC,581,0.34,LC,259,-0.4,VU
sp14,Abies fargesii,wide-ranged,1012,1794,0.77,LC,1816,0.79,LC,1580,0.56,LC
sp15,Abies fargesii var. faxoniana,wide-ranged,710,804,0.13,LC,761,0.07,LC,728,0.03,LC
sp16,Abies ferreana,wide-ranged,336,149,-0.56,EN,151,-0.55,EN,185,-0.45,VU
sp17,Abies ferreana var. longibracteata,wide-ranged,41,19,-0.54,EN,21,-0.49,VU,11,-0.73,EN
sp18,Abies forrestii,wide-ranged,877,686,-0.22,NT,744,-0.15,NT,1052,0.2,LC
sp19,Abies georgei,wide-ranged,1016,568,-0.44,VU,529,-0.48,VU,399,-0.61,EN
sp20,Abies georgei var. smithii,wide-ranged,1072,1120,0.04,LC,1127,0.05,LC,1139,0.06,LC
sp21,Abies holophylla,wide-ranged,614,317,-0.48,VU,259,-0.58,EN,123,-0.8,EN
sp22,Abies kawakamii,wide-ranged,25,21,-0.16,NT,20,-0.2,NT,18,-0.28,NT
sp23,Abies nephrolepis,wide-ranged,1329,1822,0.37,LC,1913,0.44,LC,1670,0.26,LC
sp24,Abies nukiangensis,wide-ranged,58,47,-0.19,NT,37,-0.36,VU,31,-0.47,VU
sp25,Abies recurvata,wide-ranged,580,483,-0.17,NT,471,-0.19,NT,398,-0.31,VU
sp26,Abies sibirica,wide-ranged,62,54,-0.13,NT,47,-0.24,NT,38,-0.39,VU
sp27,Abies spectabilis,wide-ranged,84,58,-0.31,VU,54,-0.36,VU,6,-0.93,CR
sp28,Abies squamata,wide-ranged,1079,1225,0.14,LC,1274,0.18,LC,1288,0.19,LC
sp29,Abies yuanbaoshanensis,narrow-ranged,125,2801,21.41,LC,2788,21.3,LC,1672,12.38,LC
sp30,Abrus precatorius,wide-ranged,987,803,-0.19,NT,759,-0.23,NT,837,-0.15,NT
sp31,Abrus pulchellus,wide-ranged,44,246,4.59,LC,250,4.68,LC,110,1.5,LC
sp32,Abrus pulchellus ssp. mollis,wide-ranged,642,591,-0.08,NT,569,-0.11,NT,700,0.09,LC
sp33,Abutilon gebauerianum,wide-ranged,353,234,-0.34,VU,165,-0.53,EN,66,-0.81,CR
sp34,Abutilon paniculatum,wide-ranged,375,216,-0.42,VU,231,-0.38,VU,273,-0.27,NT
sp35,Abutilon sinense,wide-ranged,1348,851,-0.37,VU,750,-0.44,VU,941,-0.3,VU
sp36,Abutilon sinense var. edentatum,narrow-ranged,133,3131,22.54,LC,3059,22,LC,1335,9.04,LC
sp37,Acacia caesia,wide-ranged,724,538,-0.26,NT,434,-0.4,VU,685,-0.05,NT
sp38,Acacia catechu,wide-ranged,397,698,0.76,LC,725,0.83,LC,1032,1.6,LC
sp39,Acacia concinna,wide-ranged,2738,2685,-0.02,NT,2447,-0.11,NT,2458,-0.1,NT
sp40,Acacia confusa,wide-ranged,2380,2726,0.15,LC,2704,0.14,LC,2742,0.15,LC
sp41,Acacia delavayi,wide-ranged,860,794,-0.08,NT,818,-0.05,NT,823,-0.04,NT
sp42,Acacia farnesiana,wide-ranged,1493,1585,0.06,LC,1535,0.03,LC,1527,0.02,LC
sp43,Acacia megaladena,wide-ranged,905,1066,0.18,LC,971,0.07,LC,796,-0.12,NT
sp44,Acacia pennata,wide-ranged,2598,2738,0.05,LC,2715,0.05,LC,2568,-0.01,NT
sp45,Acacia pruinescens,wide-ranged,413,0,-1,EX,0,-1,EX,131,-0.68,EN
sp46,Acacia teniana,wide-ranged,245,350,0.43,LC,366,0.49,LC,246,0,LC
sp47,Acacia tonkinensis,narrow-ranged,43,122,1.84,LC,129,2,LC,214,3.98,LC
sp48,Acacia vietnamensis,wide-ranged,327,40,-0.88,CR,15,-0.95,CR,21,-0.94,CR
sp49,Acacia yunnanensis,wide-ranged,668,573,-0.14,NT,633,-0.05,NT,654,-0.02,NT
sp50,Acalypha akoensis,narrow-ranged,68,2170,30.91,LC,2198,31.32,LC,1309,18.25,LC
sp51,Acalypha angatensis,narrow-ranged,54,1291,22.91,LC,1304,23.15,LC,613,10.35,LC
sp52,Acalypha caturus,narrow-ranged,32,98,2.06,LC,99,2.09,LC,274,7.56,LC
sp53,Acalypha hainanensis,narrow-ranged,57,1522,25.7,LC,1652,27.98,LC,1958,33.35,LC
sp54,Acalypha kerrii,wide-ranged,89,73,-0.18,NT,117,0.31,LC,422,3.74,LC
sp55,Acalypha mairei,wide-ranged,1048,729,-0.3,VU,730,-0.3,VU,792,-0.24,NT
sp56,Acalypha matsudae,narrow-ranged,19,178,8.37,LC,221,10.63,LC,142,6.47,LC
sp57,Acalypha schneideriana,wide-ranged,1800,1413,-0.22,NT,1339,-0.26,NT,1206,-0.33,VU
sp58,Acantholimon alatavicum,wide-ranged,1395,1527,0.09,LC,1586,0.14,LC,1672,0.2,LC
sp59,Acantholimon borodinii,wide-ranged,284,534,0.88,LC,643,1.26,LC,796,1.8,LC
sp60,Acantholimon diapensioides,wide-ranged,270,96,-0.64,EN,89,-0.67,EN,100,-0.63,EN
sp61,Acantholimon hedinii,wide-ranged,499,402,-0.19,NT,422,-0.15,NT,467,-0.06,NT
sp62,Acantholimon kaschgaricum,wide-ranged,150,694,3.63,LC,760,4.07,LC,827,4.51,LC
sp63,Acantholimon kokandense,wide-ranged,125,97,-0.22,NT,117,-0.06,NT,146,0.17,LC
sp64,Acantholimon laevigatum,wide-ranged,41,51,0.24,LC,51,0.24,LC,15,-0.63,EN
sp65,Acer acutum,wide-ranged,151,71,-0.53,EN,31,-0.79,EN,8,-0.95,CR
sp66,Acer albopurpurascens,wide-ranged,102,149,0.46,LC,119,0.17,LC,129,0.26,LC
sp67,Acer amplum,wide-ranged,2634,1809,-0.31,VU,1401,-0.47,VU,1055,-0.6,EN
sp68,Acer amplum ssp. bodinieri,wide-ranged,652,0,-1,EX,0,-1,EX,52,-0.92,CR
sp69,Acer amplum ssp. catalpifolium,wide-ranged,250,118,-0.53,EN,99,-0.6,EN,100,-0.6,EN
sp70,Acer amplum ssp. tientaiense,wide-ranged,86,109,0.27,LC,85,-0.01,NT,64,-0.26,NT
sp71,Acer barbinerve,wide-ranged,513,732,0.43,LC,775,0.51,LC,629,0.23,LC
sp72,Acer buergerianum,wide-ranged,3573,3062,-0.14,NT,2764,-0.23,NT,2345,-0.34,VU
sp73,Acer buergerianum var. kaiscianense,wide-ranged,47,30,-0.36,VU,18,-0.62,EN,44,-0.06,NT
sp74,Acer buergerianum var. yentangense,narrow-ranged,171,3282,18.19,LC,3320,18.42,LC,2196,11.84,LC
sp75,Acer caesium,wide-ranged,1539,1153,-0.25,NT,1051,-0.32,VU,697,-0.55,EN
sp76,Acer campbellii,wide-ranged,250,77,-0.69,EN,64,-0.74,EN,57,-0.77,EN
sp77,Acer campbellii var. serratifolium,wide-ranged,804,503,-0.37,VU,391,-0.51,EN,260,-0.68,EN
sp78,Acer cappadocicum,wide-ranged,1775,1434,-0.19,NT,1289,-0.27,NT,972,-0.45,VU
sp79,Acer cappadocicum ssp. sinicum,wide-ranged,1612,1385,-0.14,NT,1283,-0.2,NT,970,-0.4,VU
sp80,Acer caudatifolium,wide-ranged,65,59,-0.09,NT,55,-0.15,NT,52,-0.2,NT
sp81,Acer caudatum,wide-ranged,2070,1955,-0.06,NT,1897,-0.08,NT,1472,-0.29,NT
sp82,Acer ceriferum,wide-ranged,1899,1319,-0.31,VU,1220,-0.36,VU,1041,-0.45,VU
sp83,Acer chienii,wide-ranged,259,135,-0.48,VU,123,-0.53,EN,102,-0.61,EN
sp84,Acer chingii,wide-ranged,839,923,0.1,LC,679,-0.19,NT,303,-0.64,EN
sp85,Acer chunii,narrow-ranged,1248,5611,3.5,LC,5635,3.52,LC,4583,2.67,LC
sp86,Acer confertifolium,wide-ranged,213,191,-0.1,NT,143,-0.33,VU,92,-0.57,EN
sp87,Acer cordatum,wide-ranged,2475,2319,-0.06,NT,1972,-0.2,NT,1571,-0.37,VU
sp88,Acer coriaceifolium,wide-ranged,960,281,-0.71,EN,147,-0.85,CR,119,-0.88,CR
sp89,Acer crassum,wide-ranged,119,30,-0.75,EN,26,-0.78,EN,303,1.55,LC
sp90,Acer davidii,wide-ranged,5095,4864,-0.05,NT,4528,-0.11,NT,3710,-0.27,NT
sp91,Acer davidii ssp. grosseri,wide-ranged,1699,1114,-0.34,VU,1013,-0.4,VU,670,-0.61,EN
sp92,Acer duplicatoserratum var. chinense,wide-ranged,97,68,-0.3,NT,35,-0.64,EN,10,-0.9,CR
sp93,Acer elegantulum,wide-ranged,898,691,-0.23,NT,634,-0.29,NT,531,-0.41,VU
sp94,Acer erianthum,wide-ranged,2195,1867,-0.15,NT,1634,-0.26,NT,1068,-0.51,EN
sp95,Acer fabri,wide-ranged,3022,1969,-0.35,VU,1648,-0.45,VU,2259,-0.25,NT
sp96,Acer fenzelianum,narrow-ranged,91,175,0.92,LC,179,0.97,LC,447,3.91,LC
sp97,Acer flabellatum,wide-ranged,2675,1099,-0.59,EN,900,-0.66,EN,864,-0.68,EN
sp98,Acer forrestii,wide-ranged,786,77,-0.9,CR,68,-0.91,CR,286,-0.64,EN
sp99,Acer fulvescens,wide-ranged,1182,1047,-0.11,NT,938,-0.21,NT,496,-0.58,EN
sp100,Acer gracilifolium,narrow-ranged,185,7541,39.76,LC,7533,39.72,LC,4404,22.81,LC
sp101,Acer griseum,wide-ranged,749,511,-0.32,VU,432,-0.42,VU,244,-0.67,EN
sp102,Acer henryi,wide-ranged,2411,1609,-0.33,VU,1339,-0.44,VU,873,-0.64,EN
sp103,Acer hilaense,narrow-ranged,369,698,0.89,LC,620,0.68,LC,554,0.5,LC
sp104,Acer komarovii,wide-ranged,681,617,-0.09,NT,669,-0.02,NT,579,-0.15,NT
sp105,Acer kungshanense,wide-ranged,150,23,-0.85,CR,22,-0.85,CR,38,-0.75,EN
sp106,Acer kwangnanense,wide-ranged,180,75,-0.58,EN,49,-0.73,EN,255,0.42,LC
sp107,Acer kweilinense,wide-ranged,885,127,-0.86,CR,112,-0.87,CR,388,-0.56,EN
sp108,Acer laevigatum,wide-ranged,1959,1487,-0.24,NT,1219,-0.38,VU,1008,-0.49,VU
sp109,Acer laevigatum var. salweenense,wide-ranged,67,49,-0.27,NT,45,-0.33,VU,70,0.04,LC
sp110,Acer laurinum,wide-ranged,1208,1217,0.01,LC,1095,-0.09,NT,811,-0.33,VU
sp111,Acer laxiflorum,wide-ranged,1084,813,-0.25,NT,774,-0.29,NT,661,-0.39,VU
sp112,Acer leipoense,wide-ranged,69,205,1.97,LC,187,1.71,LC,198,1.87,LC
sp113,Acer linganense,wide-ranged,358,88,-0.75,EN,38,-0.89,CR,7,-0.98,CR
sp114,Acer longipes,wide-ranged,1890,379,-0.8,EN,163,-0.91,CR,20,-0.99,CR
sp115,Acer lucidum,wide-ranged,1835,1381,-0.25,NT,919,-0.5,VU,478,-0.74,EN
sp116,Acer lungshengense,wide-ranged,79,60,-0.24,NT,23,-0.71,EN,4,-0.95,CR
sp117,Acer mandshuricum,wide-ranged,641,778,0.21,LC,815,0.27,LC,569,-0.11,NT
sp118,Acer maximowiczii,wide-ranged,1436,1111,-0.23,NT,1007,-0.3,NT,734,-0.49,VU
sp119,Acer metcalfii,wide-ranged,1070,732,-0.32,VU,471,-0.56,EN,338,-0.68,EN
sp120,Acer miaoshanicum,wide-ranged,71,12,-0.83,CR,3,-0.96,CR,2,-0.97,CR
sp121,Acer miaotaiense,wide-ranged,581,548,-0.06,NT,458,-0.21,NT,245,-0.58,EN
sp122,Acer morrisonense,wide-ranged,44,45,0.02,LC,42,-0.05,NT,39,-0.11,NT
sp123,Acer nikoense,wide-ranged,559,112,-0.8,EN,46,-0.92,CR,31,-0.94,CR
sp124,Acer oblongum,wide-ranged,3342,2758,-0.17,NT,2481,-0.26,NT,2092,-0.37,VU
sp125,Acer oblongum var. omeiense,narrow-ranged,451,4864,9.78,LC,4682,9.38,LC,3191,6.08,LC
sp126,Acer oligocarpum,wide-ranged,139,248,0.78,LC,243,0.75,LC,104,-0.25,NT
sp127,Acer oliverianum,wide-ranged,3754,3131,-0.17,NT,2890,-0.23,NT,2498,-0.33,VU
sp128,Acer palmatum,wide-ranged,2170,837,-0.61,EN,619,-0.71,EN,357,-0.84,CR
sp129,Acer pauciflorum,wide-ranged,389,281,-0.28,NT,258,-0.34,VU,203,-0.48,VU
sp130,Acer paxii,wide-ranged,727,640,-0.12,NT,683,-0.06,NT,629,-0.13,NT
sp131,Acer pectinatum,wide-ranged,857,878,0.02,LC,942,0.1,LC,705,-0.18,NT
sp132,Acer pectinatum ssp. taronense,wide-ranged,431,350,-0.19,NT,297,-0.31,VU,278,-0.35,VU
sp133,Acer pentaphyllum,wide-ranged,101,173,0.71,LC,152,0.5,LC,33,-0.67,EN
sp134,Acer pictum ssp. macropterum,wide-ranged,1056,970,-0.08,NT,948,-0.1,NT,886,-0.16,NT
sp135,Acer pictum ssp. mono,wide-ranged,5653,4880,-0.14,NT,4734,-0.16,NT,4243,-0.25,NT
sp136,Acer pictum ssp. pubigerum,narrow-ranged,436,1593,2.65,LC,1630,2.74,LC,1320,2.03,LC
sp137,Acer pictum ssp. tricuspis,wide-ranged,520,356,-0.32,VU,279,-0.46,VU,157,-0.7,EN
sp138,Acer pilosum,narrow-ranged,520,4072,6.83,LC,4017,6.73,LC,5103,8.81,LC
sp139,Acer pilosum var. stenolobum,wide-ranged,332,8,-0.98,CR,5,-0.98,CR,129,-0.61,EN
sp140,Acer pinnatinervium,wide-ranged,52,31,-0.4,VU,44,-0.15,NT,25,-0.52,EN
sp141,Acer poliophyllum,narrow-ranged,265,34,-0.87,CR,18,-0.93,CR,304,0.15,LC
sp142,Acer pseudosieboldianum,wide-ranged,398,385,-0.03,NT,403,0.01,LC,372,-0.07,NT
sp143,Acer pubinerve,wide-ranged,1874,1181,-0.37,VU,814,-0.57,EN,367,-0.8,CR
sp144,Acer pubipetiolatum,wide-ranged,622,776,0.25,LC,744,0.2,LC,400,-0.36,VU
